Time,Temp,Hum,Baro,Acc(x),Acc(y),Acc(z),LinAcc(x),LinAcc(y),LinAcc(z),Mag(x),Mag(y),Mag(z),Degrees,Gyro(x),Gyro(y),Gyro(z),Light,Lat,Long,Stop
1473354629604,-9999,-9999,998.63,0.8619126,8.178593,3.6391866,0.80750734,-0.7330599,-0.4534762,-21.5625,85.5,-35.5625,8.901215,-0.037873644,-0.014660766,-0.0036651916,1075.0,-9999,-9999,-9999
1473354629724,-9999,-9999,998.63,1.2641385,8.0445175,4.367024,1.298305,-1.2220306,-0.72361946,-21.1875,85.25,-35.5625,8.4591675,-0.087964594,-0.032986723,-0.04153884,1075.0,-9999,-9999,-9999
1473354629844,-9999,-9999,998.66,1.8387469,9.653421,4.673482,2.124531,1.1706991,0.6960964,-21.5625,85.3125,-35.4375,8.296692,-0.18203785,-0.2883284,0.19425514,1075.0,-9999,-9999,-9999
1473354629961,-9999,-9999,998.63,1.7238252,9.442732,4.462792,1.2351213,0.5354395,0.1363945,-21.8125,85.25,-35.625,7.5343933,0.0720821,0.042760566,-0.07574729,1075.0,-9999,-9999,-9999
1473354630076,-9999,-9999,998.66,1.1492168,9.002198,4.098873,0.89140505,-0.7149229,-0.24601412,-21.375,85.0,-35.75,7.536499,-0.012217305,-0.34330627,0.09285152,1075.0,-9999,-9999,-9999
1473354630194,-9999,-9999,998.57,1.0342951,8.944737,3.2752678,0.54132754,0.36617756,-0.8279302,-21.1875,84.5,-35.5,7.8400574,0.06963864,0.065973446,-0.06963864,881.0,-9999,-9999,-9999
1473354630309,-9999,-9999,998.57,1.1109096,8.523358,4.0414124,0.5223012,-0.048900604,-0.317724,-21.4375,84.875,-35.5,7.62796,-0.073303826,-0.058643065,0.035430185,881.0,-9999,-9999,-9999
1473354630425,-9999,-9999,998.66,0.8810662,8.542512,4.2904096,0.291323,-0.3106451,0.11378384,-21.1875,85.125,-35.25,8.179596,-0.02443461,0.035430185,-0.018325957,1062.0,-9999,-9999,-9999
1473354630544,-9999,-9999,998.66,1.2066777,8.619126,4.175488,0.45616776,-0.0015335083,-0.26730728,-21.3125,85.375,-35.4375,7.756897,0.043982297,0.13927728,-0.096516706,1174.0,-9999,-9999,-9999
1473354630660,-9999,-9999,998.63,1.3599066,8.791509,4.232949,0.6379421,0.035681725,0.1081624,-21.3125,85.375,-35.4375,7.7870483,-0.04153884,-0.0720821,0.02565634,1174.0,-9999,-9999,-9999
1473354630775,-9999,-9999,998.69,1.0726024,8.542512,4.4819455,0.41505843,-0.015680313,0.087516785,-21.5625,85.8125,-35.0,7.933716,0.0,0.065973446,-0.05375614,1174.0,-9999,-9999,-9999
1473354630892,-9999,-9999,998.6,1.5514427,8.236053,4.5394063,0.6946385,-0.52832603,0.22409248,-21.3125,85.9375,-35.125,7.607727,-0.042760566,-0.09040806,0.02565634,1259.0,-9999,-9999,-9999
